epoch,loss,output_0_accuracy,output_0_loss,output_10_accuracy,output_10_loss,output_11_accuracy,output_11_loss,output_12_accuracy,output_12_loss,output_13_accuracy,output_13_loss,output_14_accuracy,output_14_loss,output_15_accuracy,output_15_loss,output_16_accuracy,output_16_loss,output_17_accuracy,output_17_loss,output_18_accuracy,output_18_loss,output_19_accuracy,output_19_loss,output_1_accuracy,output_1_loss,output_20_accuracy,output_20_loss,output_21_accuracy,output_21_loss,output_22_accuracy,output_22_loss,output_23_accuracy,output_23_loss,output_24_accuracy,output_24_loss,output_2_accuracy,output_2_loss,output_3_accuracy,output_3_loss,output_4_accuracy,output_4_loss,output_5_accuracy,output_5_loss,output_6_accuracy,output_6_loss,output_7_accuracy,output_7_loss,output_8_accuracy,output_8_loss,output_9_accuracy,output_9_loss,val_loss,val_output_0_accuracy,val_output_0_loss,val_output_10_accuracy,val_output_10_loss,val_output_11_accuracy,val_output_11_loss,val_output_12_accuracy,val_output_12_loss,val_output_13_accuracy,val_output_13_loss,val_output_14_accuracy,val_output_14_loss,val_output_15_accuracy,val_output_15_loss,val_output_16_accuracy,val_output_16_loss,val_output_17_accuracy,val_output_17_loss,val_output_18_accuracy,val_output_18_loss,val_output_19_accuracy,val_output_19_loss,val_output_1_accuracy,val_output_1_loss,val_output_20_accuracy,val_output_20_loss,val_output_21_accuracy,val_output_21_loss,val_output_22_accuracy,val_output_22_loss,val_output_23_accuracy,val_output_23_loss,val_output_24_accuracy,val_output_24_loss,val_output_2_accuracy,val_output_2_loss,val_output_3_accuracy,val_output_3_loss,val_output_4_accuracy,val_output_4_loss,val_output_5_accuracy,val_output_5_loss,val_output_6_accuracy,val_output_6_loss,val_output_7_accuracy,val_output_7_loss,val_output_8_accuracy,val_output_8_loss,val_output_9_accuracy,val_output_9_loss
0,24.53063201904297,0.9248544573783875,0.4216146767139435,0.928974449634552,0.4575470983982086,0.8863412737846375,0.494439035654068,0.7276309728622437,0.9127405881881714,0.5244066119194031,1.3004064559936523,0.596686065196991,1.4226698875427246,0.9142857193946838,0.4021330177783966,0.7646215558052063,0.9825356006622314,0.5872817039489746,1.5341379642486572,0.426780104637146,1.5424600839614868,0.6400358080863953,1.1990242004394531,0.8708463907241821,0.6255815625190735,0.8898342847824097,0.7955823540687561,0.7699955105781555,0.9732331037521362,0.569547712802887,1.3437265157699585,0.4000895619392395,1.7031724452972412,0.6377967000007629,1.3844135999679565,0.7740259766578674,1.0176013708114624,0.697805643081665,1.0303388833999634,0.9541423916816711,0.34646815061569214,0.9374831914901733,0.3040867745876312,0.871204674243927,0.6097287535667419,0.7081952691078186,0.8914080858230591,0.5567398071289062,1.2803690433502197,0.583878219127655,1.5236061811447144,13.812407493591309,0.9469913840293884,0.20963653922080994,0.9480658769607544,0.20385989546775818,0.8979226350784302,0.311869353055954,0.7482091784477234,0.5495014786720276,0.5698423981666565,0.8061368465423584,0.6511461138725281,0.8256673216819763,0.9455587267875671,0.19521784782409668,0.7947707772254944,0.5142275094985962,0.6665472984313965,0.748282253742218,0.4953438341617584,0.988957941532135,0.7041547298431396,0.7289769649505615,0.8800143003463745,0.36947813630104065,0.9255014061927795,0.24102459847927094,0.8026504516601562,0.5167880654335022,0.6507879495620728,0.7681459784507751,0.486389696598053,0.9911712408065796,0.7270773649215698,0.7143844366073608,0.8065902590751648,0.5333289504051208,0.731733500957489,0.6873511672019958,0.9724212288856506,0.15692542493343353,0.9566618800163269,0.14632485806941986,0.8864613175392151,0.33059942722320557,0.7156160473823547,0.6209022998809814,0.5895415544509888,0.8255144357681274,0.6389684677124023,0.8416988849639893
1,14.030330657958984,0.9418719410896301,0.2432635873556137,0.9530676007270813,0.19956211745738983,0.9032691717147827,0.3031834065914154,0.7613972425460815,0.5506691336631775,0.5874608159065247,0.8056600689888,0.6455888748168945,0.8313978910446167,0.9307658076286316,0.24924024939537048,0.8009852170944214,0.5092219114303589,0.6681594252586365,0.7445608377456665,0.5054187178611755,0.9908409714698792,0.6822212338447571,0.7571537494659424,0.8920734524726868,0.3469167947769165,0.9220778942108154,0.26509347558021545,0.811553955078125,0.5002971291542053,0.6485445499420166,0.7720470428466797,0.47792208194732666,1.0226013660430908,0.6969995498657227,0.7758986949920654,0.81227046251297,0.5286442637443542,0.7278996706008911,0.704500138759613,0.9694581031799316,0.18784521520137787,0.9528884887695312,0.17314210534095764,0.8934169411659241,0.3176724314689636,0.7395431995391846,0.593837559223175,0.6094043850898743,0.8166803121566772,0.6400358080863953,0.844446063041687,13.45516300201416,0.9469913840293884,0.2101808488368988,0.9480658769607544,0.196483314037323,0.8979226350784302,0.3002081513404846,0.7589541673660278,0.5404882431030273,0.6235673427581787,0.7709988951683044,0.6525787711143494,0.8139722943305969,0.9455587267875671,0.1908295750617981,0.796561598777771,0.5024299621582031,0.6948423981666565,0.7116963863372803,0.560171902179718,0.9328359961509705,0.703438401222229,0.7218131422996521,0.8800143003463745,0.35329538583755493,0.9255014061927795,0.2530125379562378,0.8026504516601562,0.5007617473602295,0.6669054627418518,0.7413831353187561,0.551217794418335,0.944784939289093,0.7270773649215698,0.7110238671302795,0.8069484233856201,0.5135639309883118,0.7324498295783997,0.6663417816162109,0.9724212288856506,0.1649034172296524,0.9566618800163269,0.15452924370765686,0.8864613175392151,0.3245058059692383,0.7148997187614441,0.6007683277130127,0.6135386824607849,0.8066049218177795,0.6353868246078491,0.841658353805542
2,13.423088073730469,0.9418719410896301,0.2301948517560959,0.9528884887695312,0.19037610292434692,0.9031795859336853,0.29158875346183777,0.7678459286689758,0.5182750225067139,0.6274070739746094,0.7657369375228882,0.6511419415473938,0.810322105884552,0.9308553338050842,0.23619574308395386,0.8020600080490112,0.48964765667915344,0.6900134086608887,0.6999142169952393,0.5424093008041382,0.9468783140182495,0.6877743005752563,0.7418647408485413,0.8920734524726868,0.3291757106781006,0.9221674799919128,0.24632833898067474,0.8119122385978699,0.4745555818080902,0.6602776646614075,0.7253671884536743,0.5039856433868408,0.9749756455421448,0.7060456871986389,0.7427172064781189,0.8171070218086243,0.4977702498435974,0.7288849353790283,0.6752685308456421,0.969368577003479,0.18169941008090973,0.9527093768119812,0.1589939445257187,0.8934169411659241,0.3032585382461548,0.7406179904937744,0.5739355683326721,0.6263322830200195,0.7916587591171265,0.6459471583366394,0.8220316171646118,13.108194351196289,0.9469913840293884,0.1991560012102127,0.9480658769607544,0.19012947380542755,0.8979226350784302,0.3014218509197235,0.7542979717254639,0.5380124449729919,0.6475644707679749,0.7476986050605774,0.6518624424934387,0.7945918440818787,0.9455587267875671,0.18540889024734497,0.7947707772254944,0.4859254062175751,0.7059455513954163,0.6825913786888123,0.5727077126502991,0.9011200070381165,0.7012894153594971,0.7100517749786377,0.8800143003463745,0.34627264738082886,0.9255014061927795,0.23298649489879608,0.8030086159706116,0.48346319794654846,0.6729942560195923,0.70950847864151,0.5598137378692627,0.9208833575248718,0.7270773649215698,0.6962355375289917,0.8080229163169861,0.507282018661499,0.7381805181503296,0.6552725434303284,0.9724212288856506,0.16001005470752716,0.9566618800163269,0.14960922300815582,0.8864613175392151,0.31253182888031006,0.7202721834182739,0.5932216048240662,0.6174784898757935,0.7934545874595642,0.6343123316764832,0.8249693512916565
3,13.035440444946289,0.9420510530471802,0.21819564700126648,0.9530676007270813,0.1792607456445694,0.9031795859336853,0.2743470370769501,0.7755485773086548,0.5048099756240845,0.6368114352226257,0.7494415044784546,0.6536498069763184,0.7951881885528564,0.9308553338050842,0.2164844125509262,0.802955687046051,0.47128039598464966,0.7068517804145813,0.676936149597168,0.5566502213478088,0.9195507168769836,0.6877743005752563,0.7307506203651428,0.8924317359924316,0.31173402070999146,0.9227944612503052,0.2331329584121704,0.8128078579902649,0.45480188727378845,0.6681594252586365,0.7144082188606262,0.5246753096580505,0.9439814686775208,0.7092700600624084,0.7332375645637512,0.8184505105018616,0.4803782105445862,0.736318826675415,0.6568588018417358,0.969547688961029,0.17659981548786163,0.9527093768119812,0.15271177887916565,0.8938647508621216,0.2897550165653229,0.7424988746643066,0.5660749673843384,0.634303629398346,0.7749784588813782,0.644961953163147,0.814292848110199,12.661335945129395,0.9469913840293884,0.18513280153274536,0.9480658769607544,0.1790689080953598,0.8979226350784302,0.2807019054889679,0.7668337821960449,0.5038743615150452,0.6475644707679749,0.7391791939735413,0.6525787711143494,0.7908861041069031,0.9455587267875671,0.16966277360916138,0.796561598777771,0.46232473850250244,0.7159742116928101,0.6572463512420654,0.5877507328987122,0.8772380948066711,0.7030802369117737,0.7020865082740784,0.8800143003463745,0.32468169927597046,0.9255014061927795,0.21097590029239655,0.8062320947647095,0.45467594265937805,0.6765759587287903,0.6790528893470764,0.5676934123039246,0.8997271060943604,0.7267192006111145,0.6878776550292969,0.8058739304542542,0.48095273971557617,0.7396131753921509,0.632747232913971,0.9724212288856506,0.1470295935869217,0.9566618800163269,0.137020081281662,0.8864613175392151,0.2934452295303345,0.7213466763496399,0.5792835354804993,0.6232091784477234,0.7852609157562256,0.6378939747810364,0.8118450045585632
4,12.682901382446289,0.9420510530471802,0.21295830607414246,0.9530676007270813,0.17032159864902496,0.9032691717147827,0.2665453553199768,0.7792207598686218,0.4861798584461212,0.6471115350723267,0.7261587381362915,0.656515896320343,0.7751481533050537,0.9308553338050842,0.21240271627902985,0.8062695860862732,0.45448753237724304,0.7121361494064331,0.6484958529472351,0.5734885931015015,0.8989013433456421,0.6909986734390259,0.7211949825286865,0.8924317359924316,0.30334171652793884,0.9224361777305603,0.22278021275997162,0.8168383240699768,0.43738681077957153,0.6808777451515198,0.6809963583946228,0.5497536659240723,0.9194232821464539,0.7106135487556458,0.7151627540588379,0.8206000924110413,0.4593120813369751,0.7356919050216675,0.6440386772155762,0.9696372747421265,0.16877985000610352,0.9527093768119812,0.1481514424085617,0.8935064673423767,0.2872561812400818,0.7417823672294617,0.5567091107368469,0.6433497667312622,0.7637875080108643,0.6483654379844666,0.8007069826126099,12.539422035217285,0.9469913840293884,0.1828271448612213,0.9480658769607544,0.1723582148551941,0.8979226350784302,0.2763414680957794,0.7650429606437683,0.4955398738384247,0.6626074314117432,0.727196455001831,0.652220606803894,0.7721593379974365,0.9455587267875671,0.16231557726860046,0.7951289415359497,0.4694424569606781,0.7052292227745056,0.6659663915634155,0.5916905403137207,0.8712961077690125,0.704512894153595,0.6930974125862122,0.8800143003463745,0.31851738691329956,0.9255014061927795,0.2025221884250641,0.8047994375228882,0.45778778195381165,0.6751432418823242,0.6622556447982788,0.5666189193725586,0.8945820331573486,0.7224212288856506,0.6815100312232971,0.8058739304542542,0.4805298149585724,0.7406876683235168,0.6224464178085327,0.9724212288856506,0.14285267889499664,0.9566618800163269,0.1300377994775772,0.8864613175392151,0.29035165905952454,0.7202721834182739,0.5828285813331604,0.612464189529419,0.7911331057548523,0.6404011249542236,0.8075811862945557
5,12.460405349731445,0.9421406388282776,0.20586438477039337,0.9530676007270813,0.16312098503112793,0.9033586978912354,0.26313328742980957,0.7786833643913269,0.485861599445343,0.648634135723114,0.7241247296333313,0.6606358885765076,0.7653128504753113,0.9307658076286316,0.20283640921115875,0.807344377040863,0.44659093022346497,0.7178683280944824,0.6350615620613098,0.5907747149467468,0.8786762952804565,0.690640389919281,0.7148861885070801,0.8924317359924316,0.2932680547237396,0.9233318567276001,0.21312600374221802,0.8228392004966736,0.4331616163253784,0.6884908080101013,0.668692946434021,0.565517246723175,0.9006807804107666,0.7118674516677856,0.7110792398452759,0.8210479021072388,0.44955724477767944,0.7387371063232422,0.6329135298728943,0.9696372747421265,0.15934698283672333,0.9527093768119812,0.14253005385398865,0.8942230343818665,0.28179433941841125,0.746081531047821,0.5502231121063232,0.6441558599472046,0.7475118637084961,0.6510524153709412,0.7898905873298645,12.266373634338379,0.9469913840293884,0.17937052249908447,0.9480658769607544,0.18000528216362,0.8979226350784302,0.2750423848628998,0.7704154849052429,0.49891042709350586,0.6643982529640198,0.7183780074119568,0.6536533236503601,0.7579151391983032,0.9455587267875671,0.15750643610954285,0.7990687489509583,0.447905570268631,0.7277936935424805,0.627106785774231,0.6232091784477234,0.8378555774688721,0.6994985938072205,0.7002055644989014,0.8800143003463745,0.32220861315727234,0.9255014061927795,0.20100589096546173,0.81267911195755,0.45429727435112,0.6901862621307373,0.6475635766983032,0.5870344042778015,0.8715398907661438,0.7263610363006592,0.6680192947387695,0.8119627237319946,0.4634478688240051,0.7474928498268127,0.6108962297439575,0.9724212288856506,0.13828153908252716,0.9566618800163269,0.1259259134531021,0.887535810470581,0.28298795223236084,0.7256447076797485,0.5620748996734619,0.6361031532287598,0.7530950307846069,0.6436246633529663,0.8011274337768555
6,12.176511764526367,0.9420510530471802,0.19467422366142273,0.9529780745506287,0.15802571177482605,0.9035378694534302,0.2548075020313263,0.7819077372550964,0.4763462543487549,0.6616211533546448,0.708030641078949,0.6631437540054321,0.7626930475234985,0.9312136173248291,0.18997471034526825,0.8119122385978699,0.43779489398002625,0.724764883518219,0.6168217658996582,0.6043887138366699,0.8587525486946106,0.6920734643936157,0.711009681224823,0.8924317359924316,0.28712931275367737,0.9240483641624451,0.20620481669902802,0.8257948756217957,0.41659045219421387,0.6888490915298462,0.6557608842849731,0.573936402797699,0.8780104517936707,0.7130317687988281,0.6959007978439331,0.823107898235321,0.43695858120918274,0.7456336617469788,0.616871178150177,0.9696372747421265,0.15452013909816742,0.9527093768119812,0.13618986308574677,0.8944021463394165,0.27165278792381287,0.7490371465682983,0.5374167561531067,0.6546350121498108,0.7315973043441772,0.6566950082778931,0.7803542017936707,12.20132064819336,0.9469913840293884,0.17303863167762756,0.9480658769607544,0.1725195348262787,0.8982807993888855,0.2713707685470581,0.7729226350784302,0.4848274290561676,0.6586676239967346,0.7149478793144226,0.6608166098594666,0.755432665348053,0.9459168910980225,0.1519264131784439,0.8033667802810669,0.46447789669036865,0.7177650332450867,0.6506473422050476,0.6017192006111145,0.8446378707885742,0.7070200443267822,0.6854147911071777,0.8800143003463745,0.3200472295284271,0.926217794418335,0.18591922521591187,0.8209168910980225,0.4311649203300476,0.6941260695457458,0.6391010284423828,0.5838108658790588,0.8662437796592712,0.7281518578529358,0.6727668642997742,0.8116045594215393,0.46933743357658386,0.7442693114280701,0.6062583327293396,0.9724212288856506,0.13981667160987854,0.9566618800163269,0.12205500155687332,0.8868194818496704,0.28981730341911316,0.7209885120391846,0.5654283165931702,0.6328796744346619,0.7488994002342224,0.6461318135261536,0.7929410338401794
7,11.91611385345459,0.9422301650047302,0.19646157324314117,0.9529780745506287,0.15127435326576233,0.9032691717147827,0.2544846534729004,0.7889834046363831,0.4651724100112915,0.6653829216957092,0.697111964225769,0.6659202575683594,0.7450042963027954,0.931034505367279,0.18897463381290436,0.8153157234191895,0.4259120523929596,0.7318405508995056,0.6002637147903442,0.6247200965881348,0.8296719789505005,0.6955664753913879,0.7024214267730713,0.8918943405151367,0.2793278396129608,0.9257501363754272,0.19835786521434784,0.8262427449226379,0.40646445751190186,0.6947604417800903,0.638457179069519,0.5896999835968018,0.8523772954940796,0.7131213545799255,0.6905121803283691,0.8269592523574829,0.4284555912017822,0.7495745420455933,0.5993887186050415,0.9696372747421265,0.15232230722904205,0.9527093768119812,0.1333632916212082,0.8945812582969666,0.2673014998435974,0.7484102249145508,0.5294743776321411,0.6711151003837585,0.7129064798355103,0.6591132879257202,0.7656078934669495,12.053242683410645,0.9469913840293884,0.17395073175430298,0.9480658769607544,0.16819795966148376,0.8989971280097961,0.261930912733078,0.763610303401947,0.5170002579689026,0.6497134566307068,0.7270330786705017,0.6586676239967346,0.7510859966278076,0.9459168910980225,0.1488025039434433,0.8047994375228882,0.450147420167923,0.7245702147483826,0.6349035501480103,0.6160458326339722,0.8180919289588928,0.7070200443267822,0.6830971240997314,0.8807306885719299,0.3104362189769745,0.9272922873497009,0.1788366585969925,0.8133954405784607,0.4325309693813324,0.7052292227745056,0.6293293237686157,0.6042263507843018,0.8473520278930664,0.7277936935424805,0.6639842391014099,0.8141117691993713,0.45435822010040283,0.7546561360359192,0.6012259125709534,0.9724212288856506,0.13338053226470947,0.9566618800163269,0.12269795686006546,0.8878939747810364,0.27797722816467285,0.7231375575065613,0.5605686902999878,0.6300143003463745,0.7497255802154541,0.6572349667549133,0.7751846313476562
8,11.651261329650879,0.9420510530471802,0.18435752391815186,0.9530676007270813,0.15135972201824188,0.9047021865844727,0.2458733469247818,0.791580855846405,0.45933371782302856,0.6670846343040466,0.6881961226463318,0.670667290687561,0.7341151833534241,0.9323779940605164,0.17584094405174255,0.815226137638092,0.4148676097393036,0.7430362701416016,0.5840940475463867,0.6312583684921265,0.8111521601676941,0.69852215051651,0.6933325529098511,0.8922525644302368,0.27263766527175903,0.928257942199707,0.18555788695812225,0.8333184123039246,0.3961063027381897,0.7089117765426636,0.6230128407478333,0.6019704341888428,0.8387901782989502,0.712673544883728,0.6718130111694336,0.8265114426612854,0.4166673421859741,0.7583519816398621,0.584757387638092,0.9697268009185791,0.1428806334733963,0.9529780745506287,0.12958325445652008,0.8942230343818665,0.2621438503265381,0.7532467246055603,0.5218943357467651,0.6701298952102661,0.7054286599159241,0.6633228659629822,0.7554641366004944,11.578582763671875,0.9469913840293884,0.16318891942501068,0.9480658769607544,0.16261453926563263,0.8982807993888855,0.25479766726493835,0.7704154849052429,0.4775187373161316,0.671561598777771,0.6936690211296082,0.6676217913627625,0.7372061014175415,0.9455587267875671,0.13782893121242523,0.8202005624771118,0.42952901124954224,0.7396131753921509,0.5980498790740967,0.638610303401947,0.7823106646537781,0.7048710584640503,0.6759388446807861,0.8821633458137512,0.2945545017719269,0.9301576018333435,0.17212091386318207,0.823782205581665,0.41100263595581055,0.7145415544509888,0.6122756600379944,0.6278653144836426,0.8217262029647827,0.730659008026123,0.648315966129303,0.813753604888916,0.4362184703350067,0.7668337821960449,0.5774950385093689,0.9724212288856506,0.128538116812706,0.9566618800163269,0.12188322097063065,0.8889684677124023,0.2605222463607788,0.7431948184967041,0.5316364765167236,0.6755014061927795,0.7064109444618225,0.6651146411895752,0.7585813999176025
9,11.438077926635742,0.9421406388282776,0.18345125019550323,0.9533362984657288,0.14285072684288025,0.9049708843231201,0.24400079250335693,0.795790433883667,0.45156651735305786,0.672816812992096,0.6815799474716187,0.6796238422393799,0.7179183959960938,0.9338110089302063,0.1715163141489029,0.8202418088912964,0.41222646832466125,0.7459023594856262,0.5692224502563477,0.6483654379844666,0.7860695719718933,0.6969995498657227,0.689706027507782,0.8925212621688843,0.2674262225627899,0.9319301247596741,0.18172217905521393,0.832870602607727,0.3850839138031006,0.7114196419715881,0.6102733612060547,0.614509642124176,0.8249965310096741,0.7159874439239502,0.6701251864433289,0.8269592523574829,0.4089060425758362,0.7642633318901062,0.5713265538215637,0.9696372747421265,0.14036881923675537,0.9531571865081787,0.12893150746822357,0.897626519203186,0.257229208946228,0.762561559677124,0.5057095885276794,0.6753246784210205,0.6953479647636414,0.6697716116905212,0.7443163990974426,11.619147300720215,0.9469913840293884,0.1786668747663498,0.9484240412712097,0.1634373664855957,0.8986389636993408,0.25358444452285767,0.7929799556732178,0.4738735854625702,0.6787249445915222,0.6904507279396057,0.6769341230392456,0.7221200466156006,0.9473495483398438,0.15176619589328766,0.8191260695457458,0.42556092143058777,0.7482091784477234,0.5888343453407288,0.6618911027908325,0.7832303643226624,0.7063037157058716,0.6805805563926697,0.8814470171928406,0.28888747096061707,0.9348137378692627,0.18191146850585938,0.8262894153594971,0.41311541199684143,0.719197690486908,0.617311418056488,0.6181948184967041,0.8294433951377869,0.735315203666687,0.6499617695808411,0.8248567581176758,0.42578020691871643,0.7679083347320557,0.5888011455535889,0.9724212288856506,0.12959961593151093,0.9566618800163269,0.1315915733575821,0.8939828276634216,0.27387693524360657,0.7589541673660278,0.5286083817481995,0.6722779273986816,0.7158364057540894,0.6740687489509583,0.7498177886009216
